Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,5.450,nan,nan,23.375,16.150,30.400,nan,nan,nan,nan,nan,1581.948,0.000
0.5,-98.090,5.410,nan,nan,23.350,16.160,30.400,5.000,480.000,37.000,25.000,29.000,1582.465,0.000
0.5,0.000,5.305,nan,nan,23.300,16.160,30.360,5.000,480.000,37.000,25.000,29.000,1582.652,0.000
0.5,0.000,1.940,nan,nan,7.350,4.920,13.260,4.000,480.000,37.000,25.000,29.000,1294.620,0.000
0.5,0.000,1.500,nan,nan,18.100,11.160,14.820,3.000,480.000,37.000,25.000,29.000,910.538,0.000
0.5,0.000,2.835,nan,nan,32.350,18.120,19.760,1.000,480.000,37.000,25.000,29.000,863.303,0.000
0.5,0.000,3.460,nan,nan,31.650,19.760,23.060,0.000,480.000,37.000,25.000,29.000,991.480,0.179
0.5,0.000,4.180,nan,nan,35.600,24.480,27.360,0.000,480.000,38.000,25.000,29.000,1094.145,0.199
0.5,0.000,5.025,nan,nan,35.100,25.840,29.860,1.000,480.000,38.000,25.000,29.000,1221.173,0.040
0.5,0.000,3.760,nan,nan,22.400,15.080,21.580,4.000,480.000,38.000,25.000,29.000,1115.895,0.684
0.5,0.000,2.165,nan,nan,26.400,14.800,2.140,2.000,480.000,38.000,25.000,29.000,835.498,1.154
0.5,0.000,1.925,nan,nan,22.350,11.880,0.000,0.000,480.000,38.000,25.000,29.000,798.553,0.914
0.5,0.000,1.920,nan,nan,23.200,12.420,0.000,0.000,480.000,38.000,25.000,29.000,772.102,0.679
0.5,0.000,2.005,nan,nan,25.200,13.380,0.000,0.000,480.000,38.000,25.000,29.000,756.827,0.539
0.5,0.000,2.155,nan,nan,27.950,15.140,0.000,0.000,480.000,38.000,25.000,29.000,738.835,0.343
0.5,0.000,2.600,nan,nan,38.800,20.680,0.000,0.000,480.000,38.000,25.000,29.000,706.320,0.303
0.5,0.000,2.750,nan,nan,36.400,19.160,0.000,0.000,480.000,38.000,25.000,29.000,732.562,1.048
0.5,0.000,2.350,nan,nan,28.900,15.280,0.000,0.000,480.000,38.000,25.000,29.000,765.265,1.733
0.5,0.000,2.400,nan,nan,32.450,17.460,0.000,0.000,480.000,38.000,25.000,29.000,739.678,2.088
0.5,0.000,2.455,nan,nan,30.700,16.160,0.000,0.000,480.000,38.000,25.000,29.000,756.770,2.844
0.5,0.000,2.220,nan,nan,27.750,14.680,0.000,0.000,480.000,39.000,25.000,29.000,760.475,2.928
0.5,0.000,2.050,nan,nan,24.400,12.960,0.000,0.000,480.000,39.000,25.000,29.000,769.072,2.754
0.5,0.000,2.085,nan,nan,25.750,13.600,0.000,0.000,480.000,39.000,25.000,29.000,757.752,2.449
0.5,0.000,1.835,nan,nan,22.950,12.180,0.000,0.000,480.000,39.000,25.000,29.000,764.038,2.174
0.5,0.000,1.930,nan,nan,23.350,12.340,0.000,0.000,480.000,39.000,25.000,29.000,756.955,1.634
0.5,0.000,1.880,nan,nan,23.300,12.400,0.000,0.000,480.000,39.000,25.000,29.000,754.082,0.438
0.5,0.000,1.850,nan,nan,23.250,12.280,0.000,0.000,480.000,39.000,25.000,29.000,751.837,0.193
0.5,0.000,1.890,nan,nan,23.600,12.640,0.140,0.000,480.000,39.000,25.000,29.000,749.395,0.000
0.5,0.000,1.870,nan,nan,23.650,12.460,2.040,0.000,480.000,39.000,25.000,29.000,749.450,0.000
0.5,0.000,1.890,nan,nan,23.400,12.400,0.000,0.000,480.000,39.000,25.000,29.000,750.027,0.000
0.5,0.000,1.865,nan,nan,23.550,12.420,0.000,0.000,480.000,39.000,25.000,29.000,749.178,0.000
0.5,0.000,1.850,nan,nan,24.150,12.940,0.000,0.000,480.000,39.000,25.000,29.000,744.980,0.000
0.5,0.000,1.965,nan,nan,24.250,12.740,0.000,0.000,480.000,39.000,25.000,29.000,747.800,0.000
0.5,0.000,1.865,nan,nan,23.400,12.400,0.000,0.000,480.000,39.000,25.000,29.000,750.615,0.000
0.5,0.000,1.855,nan,nan,23.250,12.233,0.000,0.000,480.000,39.000,25.000,29.000,750.673,0.000
0.5,0.000,1.835,nan,nan,23.050,12.213,0.000,0.000,480.000,39.000,25.000,29.000,750.153,0.000
0.5,0.000,1.840,nan,nan,23.150,12.253,0.000,0.000,480.000,39.000,25.000,29.000,749.378,0.000
0.5,0.000,1.845,nan,nan,23.150,12.180,0.000,0.000,480.000,39.000,25.000,29.000,749.368,0.000
