Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,1.850,nan,nan,20.900,9.000,0.000,100.000,0.000,500.000,43.000,44.688,94.562,32.000,698.480,0.000
0.5,0.000,0.000,1.875,nan,nan,21.000,9.000,0.000,100.000,0.000,512.000,43.000,44.781,94.562,32.000,698.000,0.000
0.5,0.000,0.000,1.835,nan,nan,20.750,9.000,0.000,100.000,0.000,540.000,43.000,44.781,94.562,32.000,701.620,0.000
0.5,0.000,0.000,1.800,nan,nan,20.400,8.900,0.000,100.000,0.000,500.000,43.000,44.781,94.672,32.000,700.820,0.000
0.5,0.000,0.000,1.820,nan,nan,20.700,9.000,0.000,100.000,0.000,484.000,43.000,44.781,94.672,32.000,699.680,0.000
0.5,0.000,0.000,1.810,nan,nan,20.800,9.000,0.000,100.000,0.000,534.000,43.000,44.875,94.891,32.000,699.875,0.000
0.5,0.000,0.000,1.855,nan,nan,20.950,9.000,0.000,100.000,0.000,548.000,43.000,44.875,94.781,32.000,698.757,0.000
0.5,0.000,0.000,1.895,nan,nan,21.000,9.000,0.000,100.000,0.000,494.000,43.000,44.875,94.672,32.000,698.573,0.000
0.5,0.000,0.000,1.865,nan,nan,21.000,9.000,0.000,100.000,0.000,474.000,43.000,44.875,95.328,32.000,700.780,0.000
0.5,0.000,0.000,1.855,nan,nan,21.000,9.000,0.000,100.000,0.000,524.000,43.000,45.000,95.219,32.000,700.040,0.000
0.5,0.000,0.000,1.870,nan,nan,21.000,9.000,0.000,100.000,0.000,546.000,43.000,45.000,95.109,32.000,699.900,0.000
0.5,0.000,0.000,1.885,nan,nan,21.000,9.000,0.000,100.000,0.000,484.000,43.000,45.000,95.547,32.000,699.460,0.000
0.5,0.000,0.000,1.890,nan,nan,21.000,9.000,0.000,100.000,0.000,484.000,43.000,45.094,95.109,32.000,699.980,0.000
0.5,0.000,0.000,1.855,nan,nan,21.000,9.000,0.000,100.000,0.000,540.000,43.000,45.094,95.328,32.000,700.820,0.000
0.5,0.000,0.000,1.855,nan,nan,21.000,9.000,0.000,100.000,0.000,542.000,43.000,45.094,95.875,32.000,700.020,0.000
