Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,4.640,1111.340,20.970,31.900,13.376,98.000,184.000,42.000,39.375,65.406,32.000,644.442,0.000
0.5,0.000,5.060,1111.480,20.970,33.150,13.997,99.200,530.000,42.000,39.500,65.078,31.100,647.695,0.000
0.5,0.000,4.850,1111.500,20.970,31.950,13.370,100.000,552.000,42.000,39.594,65.406,30.100,650.360,0.000
0.5,0.000,4.905,1111.800,20.970,32.150,13.900,100.000,550.000,42.000,39.688,65.188,29.100,649.350,0.000
0.5,0.000,4.935,1111.740,20.970,32.150,13.990,100.000,554.000,42.000,39.781,65.297,28.300,649.640,0.000
0.5,0.000,4.945,1111.990,20.970,32.200,14.000,100.000,554.000,42.000,40.000,65.516,27.900,649.350,0.000
0.5,0.000,5.225,1112.270,20.970,40.100,17.030,100.000,556.000,42.000,40.094,65.625,27.000,653.590,0.000
0.5,0.000,30.745,1112.580,20.970,100.000,44.900,99.600,594.000,42.000,40.188,66.300,27.000,1384.350,0.000
0.5,0.000,33.870,1112.440,20.970,56.250,25.350,122.800,596.000,42.000,40.188,71.775,26.100,2162.360,0.000
0.5,0.000,3.645,1112.940,20.970,17.750,9.760,129.000,596.000,42.000,40.188,73.550,26.000,1513.770,0.000
0.5,0.000,47.070,1113.070,20.970,81.950,43.050,131.400,596.000,41.000,40.188,74.763,26.000,2047.060,0.000
0.5,0.000,3.665,1113.030,20.970,2.500,1.580,142.400,596.000,41.000,40.188,77.763,26.000,1836.750,0.000
0.5,0.000,0.000,1113.450,20.970,0.550,0.210,122.400,566.000,41.000,40.188,76.531,26.000,995.920,0.000
0.5,0.000,3.485,1113.570,20.970,23.350,10.810,110.200,496.000,41.000,40.188,75.984,26.000,627.620,0.000
0.5,0.000,4.475,1114.180,20.970,28.400,12.760,104.800,544.000,40.000,40.375,75.438,26.000,639.050,0.000
