Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,0.000,94.900,18.714,0.000,0.000,0.000,nan,nan,656.000,nan,nan,315.117,nan,1732.475,79.298
0.5,0.000,0.025,0.000,83.020,18.836,0.000,0.000,0.000,102.000,4.000,574.000,53.000,72.781,288.753,27.000,1717.840,78.674
0.5,0.000,0.020,0.000,71.600,18.986,0.000,0.000,0.000,102.000,4.000,548.000,53.000,72.094,295.297,27.000,1700.680,77.884
0.5,0.000,0.020,0.000,62.040,19.107,0.000,0.000,0.000,100.000,4.000,650.000,53.000,72.594,275.387,27.000,1694.640,77.561
0.5,0.000,0.025,0.000,54.460,19.204,0.000,0.000,0.000,100.000,4.000,572.000,53.000,72.594,265.841,27.000,1690.100,77.360
0.5,0.000,0.020,0.000,47.940,19.281,0.000,0.000,0.000,100.000,4.000,640.000,53.000,72.594,312.875,27.000,1685.520,77.168
0.5,0.000,0.020,0.000,42.240,19.354,0.000,0.000,0.000,100.000,4.000,596.000,53.000,72.375,335.828,27.000,1678.362,76.804
0.5,0.000,0.020,0.000,36.880,19.410,0.000,0.000,0.000,100.000,4.000,642.000,53.000,72.375,282.928,27.000,1669.518,76.408
0.5,0.000,0.025,0.000,33.260,19.461,0.000,0.000,0.000,100.000,4.000,566.000,52.000,72.375,285.669,27.000,1662.400,76.124
0.5,0.000,0.020,0.000,30.880,19.499,0.000,0.000,0.000,100.000,4.000,662.000,52.000,72.281,284.053,27.000,1656.680,75.835
0.5,0.000,0.020,0.000,28.780,19.535,0.000,0.000,0.000,100.000,4.000,644.000,52.000,72.281,268.947,27.000,1651.480,75.607
0.5,0.000,0.020,0.000,26.740,19.563,0.000,0.000,0.000,100.000,4.000,598.000,52.000,72.281,249.522,27.000,1645.760,75.302
0.5,0.000,0.020,0.000,24.380,19.588,0.000,0.000,0.000,100.000,4.000,564.000,52.000,72.000,244.750,27.000,1642.920,75.217
0.5,0.000,0.025,0.000,21.720,19.613,0.000,0.000,0.000,100.000,4.000,644.000,52.000,72.094,247.628,27.000,1639.240,75.020
0.5,0.000,0.020,0.000,19.860,19.634,0.000,0.000,0.000,100.000,4.000,558.000,52.000,72.094,244.250,27.000,1635.940,74.886
0.5,0.000,0.020,0.000,19.000,19.651,0.000,0.000,0.000,100.000,4.000,632.000,52.000,72.875,243.588,27.000,1633.000,74.734
0.5,0.000,0.020,0.000,18.660,19.661,0.000,0.000,0.000,100.000,4.000,560.000,52.000,71.875,239.875,27.000,1631.280,74.647
0.5,0.000,0.020,0.000,17.480,19.680,0.000,0.000,0.000,100.000,4.000,620.000,51.000,71.875,239.125,27.000,1629.480,74.605
0.5,0.000,0.020,0.000,16.720,19.689,0.000,0.000,0.000,100.000,4.000,560.000,51.000,71.688,239.022,27.000,1618.020,74.082
0.5,0.000,0.020,0.000,16.000,19.701,0.000,0.000,0.000,100.000,4.000,646.000,51.000,71.688,236.500,27.000,1612.940,73.831
0.5,0.000,0.025,0.000,15.520,19.708,0.000,0.000,0.000,100.000,4.000,644.000,51.000,71.688,233.500,27.000,1603.960,73.440
0.5,0.000,0.020,0.000,14.800,19.723,0.000,0.000,0.000,100.000,4.000,650.000,51.000,71.500,234.125,27.000,1595.920,73.073
0.5,0.000,0.020,0.000,13.700,19.723,0.000,0.000,0.000,100.000,4.000,608.000,51.000,71.500,240.872,27.000,1587.200,72.643
0.5,0.000,0.020,0.000,12.640,19.723,0.000,0.000,0.000,100.000,4.000,576.000,51.000,71.281,237.250,27.000,1579.260,72.339
0.5,0.000,0.020,0.000,13.000,19.744,0.000,0.000,0.000,100.000,2.000,582.000,51.000,71.281,236.250,27.000,1574.200,72.046
0.5,0.000,0.020,0.000,13.200,19.744,0.000,0.000,0.000,100.000,2.000,564.000,51.000,71.281,231.500,27.000,1574.780,72.081
0.5,0.000,0.020,0.000,13.000,19.744,0.000,0.000,0.000,100.000,4.000,590.000,51.000,71.094,229.750,27.000,1574.320,72.050
0.5,0.000,0.020,0.000,12.320,19.744,0.000,0.000,0.000,100.000,2.000,558.000,50.000,71.094,227.500,27.000,1575.680,72.135
0.5,0.000,0.020,0.000,12.000,19.759,0.000,0.000,0.000,100.000,2.000,640.000,50.000,71.094,226.000,27.000,1574.100,72.067
0.5,0.000,0.020,0.000,11.920,19.766,0.000,0.000,0.000,100.000,2.000,612.000,50.000,71.000,234.034,27.000,1573.720,72.048
0.5,0.000,0.020,0.000,11.100,19.766,0.000,0.000,0.000,100.000,2.000,640.000,50.000,71.000,237.553,27.000,1573.720,72.002
0.5,0.000,0.020,0.000,11.000,19.766,0.000,0.000,0.000,100.000,2.000,608.000,50.000,70.781,230.000,27.000,1574.120,72.081
0.5,0.000,0.020,2.925,11.000,19.772,14.200,21.440,18.420,100.000,2.000,638.000,50.000,70.781,220.875,27.000,1590.140,72.731
0.5,0.000,0.020,22.535,11.000,19.715,82.200,112.889,64.600,116.000,20.000,620.000,50.000,70.781,221.250,27.000,1621.700,74.074
0.5,0.000,0.020,25.115,41.400,18.038,78.500,nan,68.920,138.000,42.000,622.000,50.000,70.594,234.375,27.000,1660.800,75.892
0.5,0.000,0.020,23.050,206.400,15.644,66.700,115.250,64.260,146.000,48.000,654.000,50.000,70.594,250.416,27.000,1701.900,77.795
0.5,0.000,0.025,18.650,383.560,13.954,55.350,100.680,57.040,136.000,40.000,588.000,50.000,70.594,263.931,27.000,1737.660,79.460
0.5,0.500,0.020,16.445,503.780,12.986,50.750,89.080,53.980,132.000,36.000,616.000,49.000,70.375,271.863,27.000,1770.980,81.001
0.5,0.000,0.025,11.350,562.820,12.471,38.900,66.000,46.760,124.000,28.000,590.000,49.000,70.375,273.478,27.000,1801.160,82.356
0.5,0.000,0.020,9.665,578.360,12.312,35.450,58.180,44.860,120.000,22.000,562.000,49.000,70.500,282.731,27.000,1826.480,83.536
0.5,0.000,0.025,7.545,570.580,12.309,30.200,47.600,41.740,116.000,18.000,668.000,49.000,70.188,277.884,27.000,1850.920,84.672
0.5,0.000,0.025,4.885,542.040,12.457,22.800,33.720,37.260,110.000,14.000,576.000,49.000,70.188,277.591,27.000,1869.340,85.514
0.5,0.000,0.025,3.465,502.320,12.852,18.200,25.460,35.240,104.000,8.000,640.000,49.000,70.281,276.709,27.000,1888.680,86.440
0.5,0.000,0.020,2.240,457.520,13.376,13.350,18.012,32.740,102.000,6.000,632.000,49.000,70.000,271.863,27.000,1905.057,87.179
0.5,0.000,0.025,1.520,409.800,13.921,9.350,12.160,31.480,102.000,4.000,542.000,49.000,70.094,268.484,27.000,1920.957,87.884
0.5,0.000,0.025,0.945,363.160,14.490,5.617,7.303,30.147,102.000,4.000,630.000,49.000,69.781,261.288,27.000,1936.327,88.617
0.5,0.000,0.025,0.195,322.540,15.066,1.133,1.480,26.627,102.000,4.000,604.000,49.000,69.781,261.728,27.000,1945.120,88.957
0.5,0.000,0.025,0.160,278.260,15.762,0.750,1.040,26.380,102.000,4.000,616.000,49.000,69.781,254.594,27.000,1953.960,89.414
0.5,0.000,0.025,0.010,233.180,16.439,0.000,0.000,24.440,102.000,4.000,652.000,49.000,69.688,246.131,27.000,1962.340,89.781
0.5,0.000,0.025,0.000,194.460,17.008,0.000,0.000,23.800,102.000,4.000,588.000,49.000,69.688,240.800,27.000,1967.620,90.024
0.5,0.000,0.025,0.000,160.800,17.507,0.000,0.000,23.600,102.000,4.000,648.000,49.000,69.688,235.125,27.000,1971.000,90.232
0.5,0.000,0.025,0.000,133.820,17.919,0.000,0.000,21.860,102.000,4.000,614.000,49.000,68.781,233.375,27.000,1973.000,90.262
0.5,0.000,0.025,1.620,112.160,18.252,10.000,12.540,33.720,100.000,4.000,660.000,49.000,69.500,235.616,27.000,1976.140,90.338
0.5,0.000,0.025,20.685,91.840,18.479,65.950,97.380,66.080,116.000,20.000,578.000,49.000,69.500,231.175,27.000,1989.100,90.982
0.5,0.000,0.025,28.835,90.240,17.385,70.500,117.820,73.140,144.000,48.000,686.000,49.000,69.500,242.500,27.000,2007.480,91.812
0.5,0.000,0.025,31.030,192.080,15.384,73.900,122.950,74.480,164.000,68.000,646.000,48.000,69.375,250.100,27.000,2030.300,92.858
0.5,0.000,0.030,24.035,317.120,13.772,59.650,102.720,66.920,162.000,64.000,642.000,48.000,69.375,268.925,27.000,2051.440,93.845
0.5,0.000,0.025,10.295,419.120,12.925,29.900,52.160,51.560,136.000,38.000,666.000,48.000,69.375,274.506,27.000,2062.040,94.360
0.5,0.000,0.025,6.410,456.420,12.763,24.100,36.440,47.080,118.000,22.000,632.000,48.000,69.375,277.150,27.000,2067.720,94.594
0.5,0.000,0.025,6.505,447.720,12.998,25.100,36.480,47.420,114.000,18.000,698.000,48.000,69.375,269.659,27.000,2074.580,94.915
0.5,0.000,0.030,6.235,405.980,13.366,24.650,35.400,47.400,112.000,16.000,708.000,48.000,69.188,270.981,27.000,2079.780,95.178
0.5,0.000,0.025,5.410,368.780,13.666,21.250,30.480,45.540,112.000,16.000,704.000,48.000,69.188,264.959,27.000,2082.540,95.314
0.5,0.000,0.025,2.460,337.700,13.925,10.400,14.380,38.640,108.000,10.000,666.000,48.000,69.188,268.191,27.000,2084.900,95.415
0.5,0.000,0.030,0.375,310.440,14.255,1.200,2.080,31.340,104.000,6.000,662.000,48.000,69.188,267.163,27.000,2081.200,95.267
0.5,0.000,0.025,0.170,284.820,14.861,0.600,0.980,30.540,102.000,6.000,686.000,48.000,69.188,258.666,27.000,2076.820,95.044
0.5,0.000,0.025,0.115,244.560,15.626,0.450,0.820,30.640,102.000,6.000,698.000,48.000,69.188,252.744,27.000,2067.740,94.653
0.5,0.000,0.025,1.460,207.760,16.373,8.250,10.420,36.040,102.000,6.000,634.000,48.000,69.094,239.197,27.000,2055.340,94.072
0.5,0.000,0.030,5.650,170.360,16.946,25.150,33.940,45.660,104.000,8.000,672.000,48.000,69.094,237.631,27.000,2047.020,93.678
