Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,2.317,nan,nan,27.875,38.433,0.000,nan,nan,524.000,nan,nan,123.438,nan,699.567,0.020
0.5,0.000,0.000,2.310,nan,nan,27.400,38.360,0.000,90.000,0.000,562.000,49.000,48.281,123.438,38.000,699.980,0.607
0.5,0.000,0.000,2.430,nan,nan,29.050,40.760,0.000,90.000,0.000,554.000,49.000,48.281,123.438,38.000,695.460,1.175
0.5,0.000,0.000,2.780,nan,nan,31.550,42.740,0.000,90.000,0.000,544.000,49.000,48.375,123.438,38.000,744.100,1.443
0.5,0.000,0.000,2.710,nan,nan,31.350,42.500,0.000,90.000,0.000,564.000,49.000,48.375,123.438,38.000,736.480,0.834
0.5,0.000,0.005,2.835,nan,nan,32.900,45.260,0.000,90.000,0.000,566.000,49.000,48.375,123.547,38.000,716.680,1.586
0.5,0.000,0.000,2.640,nan,nan,29.350,39.780,0.000,90.000,0.000,586.000,49.000,48.375,123.766,38.000,766.880,2.106
0.5,0.000,0.000,2.570,nan,nan,26.200,39.820,0.000,90.000,0.000,572.000,49.000,48.375,124.859,38.000,749.520,2.068
0.5,0.000,0.000,2.640,nan,nan,29.400,40.840,0.000,90.000,0.000,574.000,49.000,48.375,125.078,38.000,747.160,2.052
0.5,0.000,0.000,2.470,nan,nan,25.100,38.180,0.000,90.000,0.000,528.000,49.000,48.500,125.516,38.000,756.700,2.171
0.5,0.000,0.000,2.655,nan,nan,30.200,41.440,0.000,90.000,0.000,514.000,49.000,48.500,125.625,38.000,739.800,1.253
0.5,0.000,0.000,2.700,nan,nan,30.950,41.580,0.000,90.000,0.000,516.000,49.000,48.500,125.625,38.000,748.240,1.037
0.5,0.000,0.000,2.300,nan,nan,27.150,37.540,0.000,90.000,0.000,516.000,49.000,48.500,125.963,38.000,719.560,0.489
0.5,0.000,0.000,2.585,nan,nan,31.200,43.580,0.000,90.000,0.000,496.000,49.000,48.500,125.737,38.000,683.820,0.255
0.5,0.000,0.000,2.635,nan,nan,30.900,43.220,0.000,90.000,0.000,518.000,49.000,48.500,125.737,38.000,700.460,0.000
0.5,0.000,0.000,2.490,nan,nan,29.250,40.900,0.000,90.000,0.000,556.000,50.000,48.688,125.625,38.000,705.580,0.000
0.5,0.000,0.000,2.540,nan,nan,30.050,42.100,0.000,90.000,0.000,544.000,50.000,48.688,126.300,38.000,697.300,0.000
0.5,0.000,0.000,2.550,nan,nan,30.050,42.060,0.000,90.000,0.000,502.000,50.000,48.688,126.638,38.000,699.840,0.000
0.5,0.000,0.000,2.835,nan,nan,34.500,47.960,0.000,90.000,0.000,510.000,50.000,48.688,126.862,38.000,676.820,0.737
0.5,0.000,0.000,3.315,nan,nan,37.900,51.760,0.000,90.000,0.000,546.000,50.000,48.688,127.088,38.000,723.520,2.010
0.5,0.000,0.000,2.600,nan,nan,26.450,38.300,0.000,90.000,0.000,590.000,50.000,48.781,127.875,38.000,786.060,2.384
0.5,0.000,0.005,2.345,nan,nan,23.850,36.140,0.000,90.000,0.000,582.000,50.000,48.781,127.875,38.000,761.960,2.340
0.5,0.000,0.000,2.310,nan,nan,23.400,35.740,0.000,90.000,0.000,604.000,50.000,48.781,127.875,38.000,757.800,2.337
0.5,0.000,0.000,2.020,nan,nan,21.400,32.560,0.000,90.000,0.000,566.000,50.000,48.781,127.875,38.000,752.800,2.218
0.5,0.000,0.000,2.350,nan,nan,24.150,37.980,0.000,90.000,0.000,538.000,50.000,48.781,127.875,38.000,719.780,2.127
0.5,0.000,0.000,2.220,nan,nan,23.400,36.168,0.000,90.000,0.000,534.000,50.000,48.781,127.875,38.000,729.785,2.034
0.5,0.000,0.000,2.660,nan,nan,30.800,42.512,0.000,90.000,0.000,554.000,50.000,48.781,127.650,38.000,722.620,1.286
0.5,0.000,0.000,2.780,nan,nan,31.800,43.020,0.000,90.000,0.000,588.000,50.000,48.875,127.875,38.000,741.960,1.666
0.5,0.000,0.000,2.730,nan,nan,31.200,41.723,0.000,90.000,0.000,596.000,50.000,48.875,127.987,38.000,753.080,1.865
0.5,0.000,0.000,2.660,nan,nan,30.450,40.900,0.000,90.000,0.000,566.000,50.000,48.875,128.325,38.000,751.880,0.828
0.5,0.000,0.000,2.155,nan,nan,25.200,34.180,0.000,90.000,0.000,570.000,50.000,48.875,128.438,38.000,731.140,0.398
0.5,0.000,0.000,1.600,nan,nan,19.850,27.180,0.000,90.000,0.000,526.000,50.000,48.875,128.775,38.000,724.240,0.398
0.5,0.000,0.000,2.087,nan,nan,26.250,37.360,0.000,90.000,0.000,488.000,50.000,49.000,127.875,38.000,665.600,0.287
0.5,0.000,0.000,4.614,nan,nan,58.900,82.140,0.200,92.000,0.000,452.000,50.000,49.000,127.763,38.000,580.680,0.826
0.5,0.000,0.005,6.231,nan,nan,64.900,90.460,0.480,92.000,0.000,490.000,50.000,49.000,128.662,38.000,680.740,1.997
0.5,0.000,0.000,5.420,nan,nan,51.700,77.340,0.400,92.000,0.000,596.000,50.000,49.000,132.550,38.000,779.120,3.153
0.5,0.000,0.000,2.460,nan,nan,24.500,34.460,0.000,92.000,0.000,628.000,50.000,49.000,136.094,38.000,848.640,2.522
0.5,0.000,0.000,3.765,nan,nan,36.900,58.860,0.000,92.000,0.000,500.000,50.000,49.000,136.203,38.000,712.780,2.119
0.5,0.000,0.000,2.165,nan,nan,23.700,33.360,0.000,92.000,0.000,582.000,50.000,49.094,136.531,38.000,820.320,1.783
0.5,0.000,0.000,1.670,nan,nan,20.450,26.620,0.000,90.000,0.000,574.000,50.000,49.094,136.312,38.000,785.840,0.678
0.5,0.000,0.000,1.355,nan,nan,17.550,23.940,0.000,90.000,0.000,516.000,50.000,49.094,135.328,38.000,716.760,0.367
0.5,0.000,0.000,3.005,nan,nan,37.900,53.260,0.000,90.000,0.000,476.000,50.000,49.094,134.450,38.000,622.580,1.029
0.5,0.000,0.000,2.355,nan,nan,27.350,37.160,0.000,90.000,0.000,548.000,50.000,49.188,133.887,38.000,774.840,2.419
